SDSS_objID,redshift,M_r,M_r_err,gr,gr_err,logab,fracDeV,red
587741709408731284,0.0845,-21.22,0.01,0.497,0.022,0.179,0.02,0
587735666395382026,0.0366,-20.25,0.00,0.545,0.016,0.058,0.00,0
587736919433281731,0.0646,-20.75,0.01,0.396,0.074,0.087,0.19,0
588017712051060880,0.0706,-21.53,0.01,0.739,0.019,0.152,0.40,1
587739406795014308,0.0661,-21.00,0.01,0.524,0.050,0.094,0.45,0
587729776371368115,0.0313,-21.13,0.01,0.439,0.017,0.120,0.11,0
588013382199279737,0.0610,-22.55,0.00,0.760,0.015,0.078,0.49,1
587739376700620935,0.0439,-20.74,0.01,0.471,0.018,0.151,0.32,0
587738947206578277,0.0778,-20.42,0.01,0.308,0.022,0.021,0.25,0
587739608623677581,0.0757,-21.14,0.01,0.438,0.022,0.020,0.00,0
587725980689825923,0.0622,-20.72,0.07,0.522,0.084,0.123,0.26,0
587729385544089775,0.0657,-20.27,0.02,0.438,0.029,0.055,0.14,0
587739305286369355,0.0837,-22.20,0.01,0.627,0.018,0.020,0.49,0
587732482753036468,0.0343,-20.67,0.01,0.590,0.017,0.060,0.25,0
587725491059687609,0.0415,-21.26,0.94,0.663,1.293,0.054,0.29,1
587736541742235791,0.0681,-21.96,0.00,0.613,0.017,0.015,0.34,0
587726031708684463,0.0748,-22.63,0.01,0.561,0.017,0.113,0.16,0
587735239563083955,0.0797,-21.51,0.01,0.451,0.019,0.091,0.01,0
587729781735817689,0.0566,-21.59,0.01,0.637,0.019,0.178,0.23,0
587724231567343728,0.0598,-21.68,0.01,0.585,0.017,0.142,0.24,0
587733440507478204,0.0804,-21.30,0.01,0.391,0.017,0.013,0.00,0
587724649259008185,0.0625,-21.35,0.01,0.491,0.017,0.109,0.29,0
587739382067822925,0.0346,-20.70,0.01,0.413,0.016,0.003,0.35,0
587729386067984432,0.0477,-21.27,0.00,0.579,0.016,0.145,0.29,0
587733081355452502,0.0682,-21.86,0.00,0.558,0.016,0.159,0.22,0
587739130804895810,0.0632,-20.26,0.01,0.436,0.027,0.040,0.03,0
587739097526239282,0.0376,-20.89,0.00,0.572,0.016,0.141,0.24,0
588848901535629470,0.0802,-20.55,0.01,0.297,0.023,0.140,0.00,0
587729971250397252,0.0730,-22.30,0.01,0.449,0.018,0.128,0.37,0
588017702387908679,0.0679,-21.78,0.01,0.607,0.017,0.090,0.31,0
587736899576660232,0.0715,-21.32,0.01,0.545,0.020,0.177,0.14,0
587732702321311882,0.0374,-21.24,0.00,0.675,0.015,0.147,0.20,1
587735665309909090,0.0642,-21.93,0.00,0.630,0.016,0.099,0.40,0
587735661007274165,0.0628,-21.11,0.01,0.477,0.019,0.126,0.00,0
587742013806411909,0.0551,-21.39,0.01,0.544,0.016,0.030,0.04,0
587741489291919574,0.0743,-21.40,0.01,0.549,0.019,0.037,0.21,0
587736946276171915,0.0397,-21.97,0.02,0.550,0.035,0.055,0.06,0
587724241231741034,0.0531,-21.85,0.01,0.655,0.016,0.137,0.24,0
